question,context,label
韓國被北韓稱為？,韓國政治體系為行政、立法、司法三權分立。韓國總統作為國家元首擁有最高行政權，自1987年起由韓國國民直接選舉產生，任期5年，不能連任。韓國國會為一院制立法機關，通過單一選區制和比例代表制結合的方法選舉，每屆任期為四年。韓國司法機構獨立於行政機構和立法機構，其最高司法機構是大法院，成員由總統任命並由國會批准。另外韓國還設有憲法法院，用於保護憲法和保障國民的基本權利。韓國實行多黨制，其中中間偏右的自由韓國黨和中間偏左的共同民主黨是韓國兩個最大的主流政黨，左右著韓國的政壇。大韓民國聲稱其為朝鮮半島唯一合法的政權，自稱「韓國」，得名於古代的三韓，而將朝鮮民主主義人民共和國稱做「北韓」；朝鮮民主主義人民共和國亦聲稱其為朝鮮半島唯一合法的政權，自稱「朝鮮」，而將大韓民國稱為「南朝鮮」。,1
法國駐韓大使館的設計者曾經在哪一國家留學過？,最使維特魯威出名的還是他的《建築十書》，他在書中為建築設計了三個主要標準：持久、有用、美觀，維特魯威認為建築是對自然的模仿，正如鳥和蜜蜂築巢， 人類也用自然材料造建築物保護自己，為了建築美觀，先後發明了多立克柱式、愛奧尼柱式和科林斯柱式，其中的比例要依照最美的比例-人體比例，後來達·文西依照他的描述畫了《建築人體比例圖》，在代表宇宙秩序的方和圓中，放入了一個人體。維特魯威可能並不是古代西方第一位建築師，但是第一位能把建築原理寫下來的人，他列舉了一些古代建築，他並沒有進行創造，只是把已經存在的建築法則進行條理化，但他的描述要包括許多現代建築門類，包括建築設計、工程設計、園林規劃、藝術加工和工藝製造等，從語源學上講，拉丁詞「建築」是從希臘語的「領導」和「建設者」派生出來的。維特魯威的《建築十書》包括了都市計畫、建築概論、建築材料、神廟構造、希臘柱式的應用、公共建築、私家建築、地坪與飾面、水力學、計時、測量、天文、土木、軍事機械等。《建築十書》在1414年被文藝復興時期的人文學家波焦·布拉喬利尼重新發現，1486年在羅馬重新出版，1520年被翻譯成義大利語、法語、英語、德語和西班牙語，原有的插圖已經佚失，16世紀又根據其中的描述加上木版畫插圖，這本書很快成為文藝復興時期、巴洛克時期和新古典主義時期建築界的經典。,0
天主教傳教士在何時於日本死了26人？,來自歐洲的水手，水兵和傳教士之間的意見不合、目的不同，又加上16世紀末葉，日本德川幕府諸將軍極欲統一日本，對不服從中央的諸侯大加討伐，那些傾向或選擇天主教的諸侯和他們的臣民更是幕府將軍征討的對象，何況天主教在日本的發展已經引起佛教和神道教的不滿與反對。就這樣，日本天主教的教難成了預料中的事。1597年二十六位傳教士和教友在長崎致命；其餘的迫害事件，或大或小也接踵而來，傳教士和教友受到的酷刑虐待令人髮指。1637年，教友人數很多的有馬一帶，居民因為國君的橫徵暴斂，苦不堪言，而群起反抗，結果遭軍隊追擊，逃至島原，史稱島原之亂。在這裡，凡不背教者都遭屠殺，計有男女和兒童三萬五千人。從此，日本與外界完全隔絕，處在封閉中達兩百年之久。這期間，雖然沒有神父，但長崎一帶仍有一個教友核心團體殘存下來，他們保持信德，世代相傳。,1
馬可福音的作者被少數學者認為是什麼身分？,"阿拉巴馬州政府的憲制性文件是阿拉巴馬州憲法，在1901年通過。曾修改近800次，全長310,000字，部分資料顯示其為世界最長的憲法，比美國憲法長近40倍。阿拉巴馬州內一直有強烈聲音要求重寫和修改其憲法以追上時代。批抨者指阿拉巴馬州憲法一直維持議會的高度集權，並無將權力下放到當地人民。多數的郡都沒有地方自治。任何州內的政策改動都必須得到整個阿拉巴馬州議會批准，以及經常以州內公投方式通過。現時憲法其中一個批抨即其對複雜性和故意拖延將隔離和種族主義寫入法典。阿拉巴馬州政府分為三個部分。立法機構是一個兩院制會議的阿拉巴馬州議會，由105名成員的阿拉巴馬州眾議院以及35名成員的阿拉巴馬州參議院組成。議會負責起草、辯論、通過和廢除法律。現時共和黨在兩個議會都佔多數。議會有權以簡單多數票蓋過州長的否決權。直至1964年，此州仍按郡選舉州參議院，每郡一名。阿拉巴馬州自1901年通過其憲法以來從未修改國會選區，因此市區大大缺乏代表權。它也沒有根據十年一度的普查改變立法選區。在1964年雷諾斯訴錫姆斯案中，美國最高法院實施了一人一票的原則，下令國會選區必須按照普查重新編配。另外，法院亦判決雙院制的兩個州議會也必須按人口編配，以地理為基礎的系統並沒有州憲法基礎。當時阿拉巴馬州和其他許多州都必須改變其立法選區，因為全國有許多選區代表在市區和部分地區嚴重低估。這導致了該些地區幾十年都投資不足。例如伯明罕和傑斐遜郡為全州提供了三分之一的州預算，但傑斐遜郡只獲得了67分之1的州服務支援。阿拉巴馬州議會仍可透過立法代表團控制郡政府。凱·艾維州長是現任和第二名女性阿拉巴馬州州長。她也是州歷史中唯一的共和黨女性州長行政機構負責執行和監督法律，由阿拉巴馬州政府帶頭。行政機構其他成員包括內閣、阿拉巴馬州總檢察長、阿拉巴馬州州務卿、阿拉巴馬州財政部長以及阿拉巴馬州審計部長。現任州長是共和黨凱·艾維。副州長目前懸空。立法成員在11月的選舉後即時就任。全州的官員，包括州長、副州長、總檢察長以及其他憲法官員則在翌年1月就職。",0
哪一德國的婦女就業率比另一個低？,阿伊努人的特徵是膚色比較暗，低額多鬚，深眼窩，體格比較健碩，毛髮極為濃密，有捲髮的傾向，臉上和身上的汗毛都很多，是世上已知體毛最旺盛的人種之一。阿伊努人是歷史學家、民族學家和遺傳學家最有爭議的問題之一。如今，研究人員提出了三個阿伊努人的起源的理論。以目前的研究而言，學者還無法確定他們的起源。十九世紀中期英國人類學家從外貌特徵判斷他們是歐羅巴人種的後代，是從北方的西伯利亞經過庫頁島而到達日本列島的。惟最近的脫氧核糖核酸測試沒有顯示出與歐羅巴人種的遺傳基因相似。另一?法阿伊努人始祖是北上的太平洋南島人種，第三種?法是古亞細亞人。最近的研究表明，阿伊努文化起源於鄂霍次克文化和擦紋文化的合併。1264年，尼夫赫人上訴元帝國，阿伊努人入侵尼夫赫人土地，導致阿伊努人與元帝國的戰爭。13世紀開始與和人接觸。阿伊努人屬於狩獵採集社會，生活以狩獵和漁業為主和簡單農業，信奉原始自然宗教。採獵民族的固有特性也註定了其必然會被後起的繁殖係數更高的農業民族之移民人海所淹沒，最終淪為少數民族並逐步走向消亡的命運。,0
廣珠中線二期和翠亨快線都是哪邊還在施工的工程？,內耳的一部分，司平衡，稱前庭器官，另一部分能感受聲音刺激叫耳蝸，是骨質外殼包著的管狀結構，捲曲數圈呈蝸牛狀，故名。這一管狀結構靠近鐙骨底板的一端較粗，叫基部，另一端較細，叫蝸頂。耳蝸骨殼內有膜性結構分隔的3條平行管道，從基部伸到蝸頂，分別叫做前庭階、鼓階和蝸管。前庭階和鼓階在基部各有一窗，分別叫做卵圓窗和圓窗，兩窗都有膜。圓窗外為鼓室，卵圓窗則為鐙骨底板所封蓋。前庭階和鼓階在蝸頂處通連，此兩階內充滿淋巴液，叫外淋巴。蝸管夾在前庭階與鼓階之間，亦充滿淋巴液，叫內淋巴。分隔蝸管與鼓階的膜狀結構叫基底膜。由感受細胞，神經末梢及其他結構組成的聲音感受裝置就排列在基底膜上，叫螺旋器或柯蒂氏器。若把捲曲的耳蝸拉直，從其橫切面看，基底膜、螺旋器以及相鄰結構。聲音感受細胞是排列整齊的3行外毛細胞和1行內毛細胞，由支持細胞支撐，安置在基底膜上。毛細胞上端有許多很細的纖毛，其毛梢與螺旋器上方的蓋膜相連。支配毛細胞的神經由位於耳蝸縱軸處的螺旋神經節發出。螺旋神經節的神經細胞的另一軸索構成聽神經，沿蝸軸走出，穿過顱骨入腦幹。聽覺各級中樞間的傳導通路頗為複雜。哺乳動物的第1級聽中樞是延髓的耳蝸核，它接受同側的聽神經纖維。從耳蝸核發出的神經纖維大部分交叉到對側，小部分在同側，在上橄欖核改換神經元或直接上行，組成外側丘系，到達中腦四疊體的下丘，從下丘發出的上行纖維及小部分直接從上橄欖核來的纖維終止在丘腦的內側膝狀體。內側膝狀體發出的纖維束上行散開成放射狀，叫聽放線，終止於大腦聽皮層，是聽覺最高級的中樞。,0
臺北縣很多鄉鎮在什麼政府統治台灣時升格為縣轄市？,1895年6月，日本統治臺灣後，於北部設臺北縣，轄基隆、宜蘭、新竹三支廳，8月又增設淡水支廳。1897年，分割臺北縣而增設新竹縣及宜蘭廳，同時廢支廳，於北縣下置臺北、士林、新莊、滬尾、景尾、桃仔園、三角湧、樹林口、中壢、基隆、金包里、頂雙溪、水返腳等十三辦務署。1901年，廢縣置廳，裁撤辦務署，於原臺北縣轄區分設臺北、基隆、深坑、桃園、新竹等五廳。1909年，地方廳改制，臺北廳併基隆廳全部及深坑廳之大半，廳下分設十三支廳。1920年，復改革地方制度，廢廳置州、郡，新北市現有區域隸屬臺北州。中華民國30年代以來，因中華民國政府遷台與台灣經濟逐漸起飛，大量人口湧進臺北，其中也包括位處臺北市郊的臺北縣，縣內許多鄉鎮因此升格為縣轄市。而臺北縣的總人口數也不斷成長，先在中華民國68年突破直轄市設置門檻，中華民國69年底達到225.8萬人，超越臺北市成為全臺第一大縣市，更於1990年5月突破300萬人。經過地方人士不斷爭取，臺北縣先於中華民國96年10月1日改為準直轄市，中華民國99年12月25日正式改制為直轄市並更名為「新北市」，成為臺灣北部第二個直轄市。,1
鮭魚壽司是哪一國家發明的？,鮭魚肉含有高蛋白質、歐媒咖-3脂肪酸及抗佝僂病維他命，被視為有益的食物。此外，膽固醇含量也比較高，達每100克肉就有214微克的膽固醇。鮭魚肉一般呈橙色或深紅色也有很多白肉的品種，野生鮭靠蝦子等甲殼類維生，魚肉才會呈現橘紅色，在大西洋鮭養殖業者中為了讓鮭魚類似野生的蝦紅素表現，在飼料中添加類胡蘿蔔素等可食用色素來增色提加賣相。接近99%在大西洋出產的鮭魚為人工飼養。此外轉基因鮭魚2015年在美國被核准上市，可能成為了第一種上餐桌的轉基因肉品，這種鮭魚只要三分之一的養殖時間。鮭魚的食法有多種，在日本，烤鮭魚是家常菜。日本人還會把鮭魚頭製成鹽燒鮭魚等菜式；歐洲及美國人則會以熱或冷煙燻方式製作煙燻鮭魚，或把鮭魚製成罐頭以便儲存。此外，北歐地區亦有醃製鮭魚。此外，挪威爲了開拓日本的鮭魚市場，發明了鮭魚壽司。,1
新北市目前有幾所大專院校？,最初的兩枚郵票設計也是多得羅蘭·希爾。為之他收到數千份設計，最後都為他棄之不用。郵票上的畫像來自於一枚他特別喜歡的1837年紀念幣。面值1便士的郵票是黑底的，2便士面值的則是藍底。亨利·科巴為之製作雕版，而印刷工作則由珀金斯，培根·珀斯印刷廠承擔。而黑便士郵票也有其不足之處，郵票上的黑色郵戳不易看清，且容易洗掉，因此有人鑽漏洞將其反覆使用。為此，之後的1便士郵票改用紅色印刷，1841年2月10日，紅便士宣告誕生。兩枚郵票誕生後不久，其他國家也開始跟著使用起郵票來。1841年和1842年在美國出現了一些郵票。1843年巴西也擁有了自己的第一套郵票，共3枚，面值分別為30、60和90雷依斯，被稱為牛眼郵票，是世界珍郵之一。1843年3月1日，瑞士蘇黎世州發行地方郵票，分別以阿拉伯數字4和6為主圖案，這是世界第一套雙色郵票。1849年，法國發行了第一套郵票，以穀物女神色雷斯為圖案。德國的第一枚郵票則是黑一，在1849年11月1日由巴伐利亞王國發行。1850年德國城邦漢諾威、普魯士、薩克森、什勒斯維希-霍爾斯坦還有巴登緊隨其後。奧地利則在1850年6月1日開始發行郵票，它們在列支敦斯登境內同樣有效。中國的第一張郵票是大清郵政在1878年1月發行的大龍郵票。大龍郵票有三個版式，即薄紙大龍、闊邊大龍和厚紙大龍。很快就有新的郵票種類誕生，例如在奧地利1851年出現的報紙郵票。而1871年秘魯值第一條鐵路開通之際發行了世界上第一枚紀念郵票。但並非所有歷史學家都贊成此觀點。郵票開始具有廣告效果。,0
布魯特地區在清朝時是以什麼制度來實施行政規劃的？,清代新疆分為天山北路的準部和天山南路的回部，統屬於伊犁將軍。其中的蒙古遊牧地區實行盟旗制。維吾爾、布魯特、塔吉克等族地區則實行伯克制。蒙古舊土爾扈特部與中路和碩特部設立旗、盟：舊土爾扈特部為南北東西四路烏訥恩素珠克圖盟，和碩特部為巴圖塞特奇勒圖盟。凖部地方設烏魯木齊都統，統轄烏魯木齊、庫爾喀喇烏蘇、吐魯番、哈密、古城、巴里坤等城。其中迪化州、鎮西府由新疆與甘肅省雙重管轄。塔爾巴哈臺由塔爾巴哈臺參贊大臣管轄。伊犁及其以西地方由伊犁參贊大臣、領隊大臣管理。回部設總理回疆事務大臣，統轄喀什噶爾、葉爾羌、和闐、阿克蘇、烏什、庫車、喀喇沙爾等城。光緒十年，新疆建省，實行與內地相同的府、廳、州、縣體制。,1
成立定海縣人民政府是由於哪一軍隊佔領舟山群島?,中華民國廢廳改縣，復改定海縣。歸屬於寧波市管轄。日本侵華，舟山落入日軍之手。1942年10月1日，日本軍船里斯本丸運英國戰俘往日本，中途在舟山被美國太平洋艦隊潛艇部隊第81分隊的鱸魚號發射魚雷擊中，日軍棄船，千多名英軍戰俘遇害。 當地中國漁民義救出300多名英國軍人。1945年，日本戰敗投降，舟山復歸中華民國。1949年，民國三十八年，因戰時需要，定海縣分為定海、滃州兩縣，馬跡山以北蘇屬各島設立江蘇省嵊泗縣。1950年5月13日夜至16日拂曉，駐舟山的中華民國國軍秘密自舟山當地撤退，滃州縣實際解散，是爲舟山撤退。之後中國人民共和國，中國共產黨解放軍進占舟山群島，成立定海縣人民政府，屬寧波專區管轄。1953年3月經政務院批准，定海縣轄區分為定海縣、普陀縣、岱山縣3縣，並從江蘇省劃入嵊泗縣，成立舟山專區。1954年象山縣自寧波專區劃入，但在1958年轉劃歸台州專區。1959年撤定海、普陀、岱山、嵊泗縣，合併成立舟山縣，舟山專區僅轄舟山1縣。1960年1月4日，舟山專區撤消，舟山縣改屬寧波專區。同年11月，所屬嵊泗人民公社劃歸上海市。1962年5月重新設立舟山專區，並撤銷舟山縣，改分為定海、普陀、岱山、大衢、嵊泗5縣。1964年大衢縣撤銷，其轄區分別劃歸岱山、嵊泗2縣。1967年3月起舟山專區改稱舟山地區。,1
利奧三世先後頒布了經過改革的各種法律，同時他還吸收哪個宗教的長處，對宗教進行大幅度改革?,出生於敘利亞的利奧三世是一個主張改革的偉大統治者，還是一個名將，在他統治的第一年，就擊退了伊斯蘭哈里發軍隊對君士坦丁堡的第三次大圍攻，使其元氣大傷，數年內不敢對東羅馬用兵。而且其經過改組的海軍還遏止了在未來四百年中伊斯蘭世界的海權成長。利奧的成功抵抗不僅拯救了東羅馬帝國和東方的天主教世界，而且也更拯救了整個西歐文明。從一個立法者的角度來看，利奧三世先後頒布了經過改革的民法和刑法，以及農業法、商業法，對傳統的、無伸縮性的羅馬法進行了大幅度修改，使其適應改變了的社會狀況，同時他還吸收新崛起的伊斯蘭教的長處，對宗教進行大幅度改革，頒布了禁止崇拜偶像、出賣神符的命令，發動破壞聖像運動，從而在天主教中樹立了高度的精神力量，遏止了教會產業的急劇膨脹和國家財力的流失，並為世俗文化的復興提供了機會。由於這些改革措施，東羅馬帝國在718年之後終於頂住了伊斯蘭哈里發軍隊的入侵。但是，此後東羅馬帝國仍是危機不斷。746年，近東發生的大瘟疫蔓延到帝國全境，羅馬人和希臘人的死亡人數甚為巨大。於是空出來的地方聽任從巴爾幹半島以北來的斯拉夫人爭先恐後地遷移進來定居。東羅馬皇室歷史學家君士坦丁·波菲洛格尼圖斯就曾說：當瘟疫吞沒萬物的時候，廣闊大地都斯拉夫化了，都蠻族化了。,1
韓國近代第一份民營韓文報紙是由誰創辦的？,臨時代議制通過的少數法例，包括立憲會議的選舉法。王國成立之前，代表同意秘密投票，並採用普選制度。他們從沒想到，國家成立後有爭取婦女普選權的運動，故此只是把普選局限於男性。社民黨與斯洛維尼亞人民黨都支持婦女普選，激進黨則反對。民主黨持開放態度，但沒有大力宣傳，故此運動失敗。原則上，比例代表制可以實現，但政府採用漢狄法，而選區又非常小，故此有利大型政黨，以及有強大地區支持的政黨。1920年11月28日，選舉開始，民主黨獲得最多議席，但僅僅多於激進黨。實行臨時代議制時，民主黨控制政局，這次卻失敗。它在原屬奧匈帝國的領土選區也表現甚差。這表示，民主黨的集權政策，未能代表全國人民的意願。激進黨在上述地區表現也不太好，但由於它自認塞爾維亞黨派，故此不成問題。最大的贏家就是反對建制的兩個黨派。根據Gligorijevic，克羅埃西亞共和農民黨的領導人只是在選舉宣傳期才獲得出獄，但效果比主動宣傳還要見效。但是，克羅埃西亞社區則反對該黨，不滿它想加入政府。共產黨同樣是贏家，在馬其頓尤其表現出色。小型政黨取得餘下議席，它們最多只是懷疑民主黨的政綱。,0
日本什麼制度於1996年導入?,民國13年9月，江浙戰爭爆發，屬直系軍閥的江蘇督軍齊燮元聯合江西和福建進攻皖系的盧永祥。10月戰爭結束後直系獲勝，驅逐盧永祥。浙江進入直系軍閥統治時期，督軍為孫傳芳，直至北伐戰爭結束。清末民初時期，浙江因為資本主義萌芽和開埠較早，較早的接觸了西方近代思想的影響並且投入到推翻清朝的統治的鬥爭中，孫中山後期的革命經費大部都是浙江湖州的絲綢商人籌集和捐贈的，蔣中正就是依靠江浙財閥的勢力上臺的，湖州人當時就佔國民黨中常委的1/3，控制了當時的政權。浙江人還較早參與了當時上海的開發，寧波人大量移民上海，湖州人控制了當時上海大部分碼頭和租借大半房產，並建造了百樂門，和平飯店等知名建築。,0
韓國的福利國家概念在誰擔任韓國領袖時被提出來？,韓國自1960年以來相繼制定了一系列的社會保障法規。在全斗煥執政期間，「福利國家」的概念被正式提出來。與其它已開發國家相比，韓國的社會保障制度起步較晚，有待進一步完善，但韓國建立起福利國家所用的時間卻是很短的。韓國的社會保障體系包括社會保險、公共救濟和社會福利服務三方面。社會保險主要包括養老保險、醫療保險、僱傭保險、產業災害保險。1988年韓國修定《國民養老保險法》，首次實施了國民養老保險制度。1999年養老保險和退休金制度惠及到全國國民。醫療保險從1977年開始實行。醫療保險以投保人的保險費為主，國庫補助或其他利息收入為補充。,1
奧斯陸位於哪一條灣的內側?,香港仔原本稱為「石排灣」。水上人漁民，源自遠古百越族，自遠古時代開始就在廣東一帶聚居，他們是香港最早的居民。香港島的香港仔、赤柱和九龍的油麻地等地以往聚居了不少水上人。1841年第一次鴉片戰爭爆發後一批英軍登陸香港仔，一名叫陳群的水上人漁民，帶領英人從香港仔越山循此路至上環一帶為英軍開路，因而得名。她是一名水上人漁民，因為路是阿群帶的，所以就稱之「阿群帶路」了。有說英軍初抵港島時，由陳群帶領在赤柱一帶登陸，經香港村，薄扶林等地到港島北部一帶。經香港村時，英軍詢問該處地名，陳群以水上人音回答「香港」，英人即以水上人音「HONG KONG」為記，便因而成為全島的總稱。這也成了香港名字由來的其中一說。此地則被稱為香港仔。後來香港政府將此地命名為鴨巴甸，以紀念當時英國的外交大臣鴨巴甸勳爵。而於香港日治時期，香港仔曾被改名為元香港，代表「香港的起源」的意思。,0
卡拉巴赫變成外高加索民主聯邦共和國的一部分是由於1917年哪件事情之後?,1911年武昌起義爆發後，清朝政府重新啟用袁世凱，袁世凱將段祺瑞召回北京，10月25日段升任清軍第二軍軍統；第二軍隨後開拔南下與第一軍一同清剿革命黨，清廷增封段祺瑞為湖廣總督。由於袁世凱與革命黨間持續進行談判，南下清軍並未盡全力掃除武漢當地之敵；待11月13日袁世凱擔任內閣總理取得職權後，段祺瑞除湖廣總督之位外會辦撫剿事宜；由於馮國璋攻克武漢三鎮進度過順，11月28日袁世凱任命段祺瑞調任第一軍軍統，第二軍軍統換由馮國璋擔任。12月5日，段祺瑞下令第一軍退出漢陽，開始進行南北議和。1912年1月，在袁世凱授意下，段祺瑞領銜北洋將領四十六人上書段祺瑞等要求共和電報，前後兩次電報轉達北洋新軍意圖，迫使清廷強硬派失勢後，成功讓宣統退位。,0
新疆的行政規劃制度到了清朝什麼時候開始便與內地一樣？,《〈聖經〉武加大譯本》，又譯《拉丁通俗譯本》，是一個5世紀的《聖經》拉丁文譯本，由耶柔米自希伯來文和希臘文進行翻譯。8世紀以後，該譯本得到普遍承認。1546年，特倫特宗教會議將該譯本批准為權威譯本。現代天主教主要的聖經版本，都源自於這個拉丁文版本。遵照教宗達馬蘇斯一世的敕令，哲羅姆等人於383年開始對當時現存的新約拉丁文本進行修訂，於390年開始參考希臘文七十士譯本對舊約希伯來文本的翻譯。 這個譯本所採用的是不同於西塞羅式雄辯、優雅的古典風格的世俗拉丁文，「武加大」原意即為「通俗的」。對舊約詩篇，耶柔米提供了一個修訂版本以及一個原文翻譯版本。405年，耶柔米完成了正典及次經中多比傳、猶滴傳的翻譯工作。次經其餘部分則采自希臘文七十士譯本。此譯本共含正典73卷、次經3卷。舊約中除詩篇均為從希伯來文重新翻譯而成。新約中四福音書經歷了細緻的修訂。,0
經過選舉後由鮑德溫伯爵獲選拉丁皇帝，他管理的區域被稱為?,根據日本放送協會於2009年9月及南韓國家安全戰略研究所所長南成旭在10月21日時透露，金正恩於2009年6月及7月時和金正日因軍隊編制問題而發生爭執，因而令金正日決定暫停接班宣傳計劃，並把身為金正恩姑丈的朝鮮勞動黨行政部部長張成澤排除在權力核心，以減少金正恩在北韓的影響力。2010年1月7日，朝鮮民主主義人民共和國政府通過把金正恩生日1月8日及當日下午定為「民族最大節慶」外，並通報由2011年起把金正恩生日定為國定假日，顯出北韓當局確定金正日接班人為金正恩。根據南韓《朝鮮日報》報道，金正日於2010年8月26日秘密訪華時，金正日在中國吉林省長春市出席中方而設的歡迎宴會上向中共中央總書記胡錦濤引見其三子金正恩；金正日當時表示「讓我們的後代繼承朝中友誼這一優良傳統」而證明了金正恩的接班人地位。,0
張伯倫的生涯最後一個賽季是哪一年?,"喬治亞是一東歐國家。它曾經是蘇聯加盟共和國，於1991年4月9日正式獨立，首任總統茲維亞德·加姆薩胡爾季阿。獨立後法定國名為「喬治亞共和國」，1995年8月24日該國通過新憲法，國名定為「喬治亞」，曾為獨立國家國協成員。因為2008年南奧塞提亞戰爭，喬治亞根據議會2008年8月14日通過的決議做出退出獨立國協的決定，並於2009年8月18日完成手續，正式退出。喬治亞領土面積達69,700平方公里，包括阿布哈茲和南奧塞提亞；人口數量有4,352,224；主要民族為喬治亞族，其他主要少數民族有亞美尼亞族、俄羅斯族、和亞塞拜然族等；官方語言為喬治亞語，當地居民亦多通曉俄語；多數人信仰東正教，少數信仰伊斯蘭教。",0
為何敦梅學校經常在灣仔各處戰前唐樓的不同單位進行教學？,盧押道一帶亦有不少酒吧，主要吸引外國人光顧，尤其每當有外國軍艦訪港，上址一帶更吸引各國娼妓留連街上，有如電影《蘇絲黃的世界》裏情節一樣。而區內之新杜老誌夜總會，曾為本地富豪銷金窩。由香港導演彭浩翔執導的電影《大丈夫》，就是受新杜老誌於2003年結業的啟發而拍成。二次大戰前後，不少有名的學校都位於灣仔。其中一間由著名的老師，莫敦梅創立。該學校於1919年以書塾的形式成立，然後於1934年改稱為敦梅學校。學校教授的內容包括傳統中國書法及儒家思想等。日本佔領香港的時候學校曾經停辦。戰後，學校繼續為較富有家庭的小童提供中式教育。而為回應附近區域的學位緊張，學校也為較貧困的學生提供學費減免。而因為沒有完整校舍，學校經常在灣仔各處戰前唐樓的個別單位上課。這是多數私立中式學校都面對的問題。,1
新北市目前有幾所大專院校？,新北市教育主管機管為新北市政府教育局。根據民國104年新北市教育統計年報，104學年度新北市公私立國民小學計216所，其中公立208所、私立8所；公私立國民中學計98所，其中國立1所、公立80所、私立17所。新北市目前有大專院校24所，在《誇誇雷利西蒙茲最佳學生城市排名》中，輔仁大學是新北市的代表大學。新北市立圖書館為新北市政府成立的公共圖書館，主管單位為新北市政府文化局。2015年5月，位於板橋區貴興路的新圖書總館落成啟用，是臺灣唯一一座24小時全天開放的公立圖書館。同時在新北市各轄區共設有一百座分館，新北市立圖書館系統共有館藏約374萬冊。,1
最早發展都市計畫的文明為？,在19世紀末，滿洲因為日本和俄國對這一地區的爭奪而為世界所熟知。俄國向滿洲的擴張始於17世紀上半葉。1858年和1860年，俄國通過《璦琿條約》和《北京條約》割占了黑龍江以北、烏蘇里江以東約100萬平方公里的土地。1861年牛莊開埠，西方勢力開始進入滿洲南部。英國太古洋行、怡和洋行，德國德茂洋行、瑞記洋行，美國旗昌洋行紛紛在營口開業，各國先後在營口設立領事館，清朝也設立了營口海關。從1865年至1891年，滿洲地區大量出口大豆、豆油、柞蠶絲、以及人參等土特產，進口鴉片、棉紡織品和其它消費品。清朝早期，滿洲被列為龍興之地而禁止漢人進入。由於清朝末年俄國的南下勢力抬頭，以及朝鮮移民越過圖們江開墾長白山地區的情況趨於嚴重，滿洲地區的邊疆危機日甚，清朝被迫開放邊禁，採取移民實邊的政策。1861年至1880年代陸續開放了吉林圍場、阿勒楚喀圍場、大凌河牧場等官地和旗地。1882年首先在吉林招墾，設立琿春招墾總局，此後又開放了黑龍江地區的土地開墾。1885年設立吉林電報局，1883年，滿洲第一家近代機器工業製造廠—吉林機器局投產。1896年，帝俄通過《中俄密約》得到了在滿洲境內修建鐵路的特權，並於1898年取得了旅順-大連租借地。這一時期日本也逐漸加強向滿洲的擴張。1904年，爆發日俄戰爭，俄國戰敗，被迫退出南滿。此後日本、俄國和中國三方均加速對滿洲的開發。1907年清廷裁撤盛京、吉林、黑龍江三將軍，改置奉天、吉林、黑龍江，時稱東三省，設巡撫，並設東三省總督。日本於1906年成立南滿洲鐵道株式會社，以公司的名義在滿洲實行殖民經略，並且鼓勵朝鮮人向滿洲大量移民。1911年清朝滅亡，1915年袁世凱稱帝後，日本陸軍參謀本部曾策劃滿蒙獨立運動，由於局勢變化而未能實現。之後，奉系軍閥張作霖成為滿洲地區的實際控制者，張初期與日本交好，之後關係轉差，1928年兵敗於國民黨北伐，自燕京退回奉天時，被日本關東軍的鐵路炸彈所刺殺。1929年其子張學良繼位，宣布東北易幟，改五色旗為青天白日紅旗，名義上歸順中國國民政府。,0
衛滿朝鮮是在什麼朝代被推翻後所建立的？,公元前12世紀到前2世紀期間商朝的遺臣箕子與當地土著居民一起創立箕子朝鮮。公元前194年燕國人衛滿推翻古朝鮮准王建立衛滿朝鮮。西漢元封二年漢武帝東征朝鮮，設立四郡。進入四世紀以後，高句麗在鴨綠江流域興起，統一北部的各部落國家及滅亡漢四郡。在西南部，百濟消滅馬韓54國。東南部的辰韓也由12國合併為新羅。朝鮮半島形成高句麗、新羅、百濟三國鼎立時期，史稱「三國時代」。公元7世紀新羅聯合唐朝先後滅百濟和高句麗。676年羅唐戰爭後，新羅統一朝鮮半島大同江以南。大同江以北的高句麗故地被唐朝渤海國等繼承。904年，新羅僧人金弓裔建立泰封國。918年，泰封國大將王建建立高麗國，此後定國號「高麗」，並深受中國佛教的影響。,1
